Name of the Journal,Website URL
Journal of Business & Financial Affairs Open Access Journal,https://www.omicsonline.org/business-and-financial-affairs.php
Journal of Defense Studies and Resource Management Hybrid Open Access Journal,https://www.scitechnol.com/defense-studies-resource-management.php
Journal of Entrepreneurship & Organization Management Open Access Journal,https://www.omicsonline.org/entrepreneurship-organization-management.php
Journal of Global Economics Open Access Journal,https://www.omicsonline.org/global-economics.php
Journal of Hotel & Business Management Open Access Journal,https://www.omicsonline.org/hotel-business-management.php
Journal of Stock & Forex Trading Open Access Journal,https://www.omicsonline.org/stock-forex-trading.php
Journal of Tourism & Hospitality Open Access Journal,https://www.omicsonline.org/tourism-hospitality.php
Journal of Tourism Research & Hospitality Hybrid Open Access Journal,https://www.scitechnol.com/tourism-research-hospitality.php
Review of Public Administration and Management Open Access Journal,https://www.omicsonline.org/review-public-adminstration-management.php
Journal of Advanced Chemical Engineering Open Access Journal,https://www.omicsonline.org/advanced-chemical-engineering.php
Journal of Bioprocessing & Biotechniques Open Access Journal,https://www.omicsonline.org/bioprocessing-biotechniques.php
Journal of Chemical Engineering & Process Technology Open Access Journal,https://www.omicsonline.org/chemical-engineering-process-technology.php
Journal of Thermodynamics & Catalysis Open Access Journal,https://www.omicsonline.org/thermodynamics-catalysis.php
Acta Chimica and Pharmaceutica Indica  Open Access Journal,http://www.tsijournals.com/journals/acta-chimica-and-pharmaceutica-indica.html
Analytical Chemistry: An Indian Journal ,http://www.tsijournals.com/journals/analytical-chemistry-an-indian-journal.html
Archives in Chemical Research Open Access Journal,http://www.imedpub.com/archives-in-chemical-research/
Biopolymers Research ,https://www.omicsonline.org/biopolymers-research.php
Chemical Sciences Journal Open Access Journal,https://www.omicsonline.org/chemical-sciences-journal.php
Chemical Technology: An Indian Journal ,http://www.tsijournals.com/journals/chemical-technology-an-indian-journal.html
ChemXpress ,http://www.tsijournals.com/journals/chemxpress.html
Der Chemica Sinica ,http://www.imedpub.com/der-chemica-sinica/
Industrial Chemistry Open Access Journal,https://www.omicsonline.org/industrial-chemistry.php
Inorganic Chemistry: An Indian Journal ,http://www.tsijournals.com/journals/inorganic-chemistry-an-indian-journal.html
Insights in Analytical Electrochemistry Open Access Journal,http://electroanalytical.imedpub.com/
International Journal of Chemical Sciences Open Access Journal,http://www.tsijournals.com/journals/international-journal-of-chemical-sciences.html
Journal of Analytical & Bioanalytical Techniques Open Access Journal,https://www.omicsonline.org/analytical-bioanalytical-techniques.php
Journal of Chromatography & Separation Techniques Open Access Journal,https://www.omicsonline.org/chromatography-separation-techniques.php
Journal of Current Chemical and Pharmaceutical Sciences Open Access Journal,http://www.tsijournals.com/journals/journal-of-current-chemical-and-pharmaceutical-sciences.html
"Journal of Environmental Analytical Chemistry Open Access Journal, Association of Environmental Analytical Chemistry of India",https://www.omicsonline.org/environmental-analytical-chemistry.php
Journal of Health Care and Prevention ,https://www.omicsonline.org/journal-health-care-prevention.php
Journal of Organic & Inorganic Chemistry Open Access Journal,http://organic-inorganic.imedpub.com/
Journal of Pain & Relief Open Access Journal,https://www.omicsonline.org/pain-relief.php
Journal of Physical Chemistry & Biophysics Open Access Journal,https://www.omicsonline.org/physical-chemistry-biophysics.php
Journal of Phytochemistry & Biochemistry ,https://www.omicsonline.org/journal-phytochemistry-biochemistry.php
Mass Spectrometry & Purification Techniques Open Access Journal,https://www.omicsonline.org/mass-spectrometry-purification-techniques.php
Medicinal Chemistry Open Access Journal,https://www.omicsonline.org/medicinal-chemistry.php
Modern Chemistry & Applications Open Access Journal,https://www.omicsonline.org/modern-chemistry-applications.php
Natural Products Chemistry & Research Open Access Journal,https://www.omicsonline.org/natural-products-chemistry-research.php
Natural Products: An Indian Journal ,http://www.tsijournals.com/journals/natural-products-an-indian-journal.html
Organic Chemistry: An Indian Journal ,http://www.tsijournals.com/journals/organic-chemistry-an-indian-journal.html
Organic Chemistry: Current Research Open Access Journal,https://www.omicsonline.org/organic-chemistry-current-research.php
Pharmaceutical Analytical Chemistry Open Access Journal,https://www.omicsonline.org/pharmaceutical-analytical-chemistry.php
Physical Chemistry: An Indian Journal ,http://www.tsijournals.com/journals/physical-chemistry-an-indian-journal.html
Research & Reviews in Electrochemistry ,http://www.tsijournals.com/journals/research-reviews-in-electrochemistry.html
Research & Reviews in Polymer ,http://www.tsijournals.com/journals/research-reviews-in-polymer.html
Research & Reviews: Journal of Chemistry Open Access Journal,http://www.rroij.com/chemistry.php
RROIJ: Journal of Medicinal & Organic Chemistry Open Access Journal,http://www.rroij.com/medicinal-organic-chemistry.php
Scientific Reviews and Chemical Communications Open Access Journal,http://www.tsijournals.com/journals/scientific-reviews-and-chemical-communications.html
Structural Chemistry & Crystallography Communication Open Access Journal,http://structural-crystallography.imedpub.com/
Trends in Green Chemistry Open Access Journal,http://green-chemistry.imedpub.com/
Acute and Chronic Disease Reports ,https://www.omicsonline.org/acute-chronic-disease-reports.php
Annals of Clinical and Laboratory Research Open Access Journal,http://www.aclr.com.es/
Arrhythmia: Open Access Open Access Journal,http://www.openaccessjournals.com/journals/interventional-cardiology.html
Atherosclerosis: Open Access Open Access Journal,https://www.omicsonline.org/atherosclerosis.php
Cancer Biology and Therapeutic Oncology ,http://www.imedpub.com/cancer-biology-and-therapeutic-oncology/
Cancer Surgery Open Access Journal,https://www.omicsonline.org/cancer-surgery.php
Cardiovascular Investigations: Open Access ,http://www.imedpub.com/cardiovascular-investigations-open-access/
Cardiovascular Pharmacology: Open Access Open Access Journal,https://www.omicsonline.org/cardiovascular-pharmacology.php
Cardiovascular Therapy: Open Access Open Access Journal,https://www.omicsonline.org/cardiovascular-therapy.php
Clinical and Experimental Psychology Open Access Journal,https://www.omicsonline.org/clinical-experimental-psychology.php
Clinical Depression Open Access Journal,https://www.omicsonline.org/clinical-depression.php
Clinical Dermatology Research Journal ,https://www.scitechnol.com/clinical-dermatology-research-journal.php
Clinical Pediatrics: Open Access Open Access Journal,https://www.omicsonline.org/clinical-pediatrics.php
Clinical Practice (Therapy) Open Access Journal,http://www.openaccessjournals.com/journals/clinical-practice.html
Clinical Research on Foot & Ankle Open Access Journal,https://www.omicsonline.org/clinical-research-foot-ankle.php
Clinics in Mother and Child Health Open Access Journal,https://www.omicsonline.org/clinics-mother-child-health.php
Current Research: Cardiology Open Access Journal,http://www.pulsus.com/journals/current-research-cardiology.html
Diabetes Case Reports Open Access Journal,https://www.omicsonline.org/diabetes-case-reports.php
Insights in Pediatric Cardiology Open Access Journal,http://pediatric-cardiology.imedpub.com/
International Journal of Anesthesiology & Pain Medicine Open Access Journal,http://anaesthesia-painmedicine.imedpub.com/
International Journal of Cardiovascular Research Hybrid Open Access Journal,https://www.scitechnol.com/international-journal-of-cardiovascular-research.php
International Journal of Clinical & Medical Imaging Open Access Journal,http://www.imagejournals.org/
International Journal of Clinical Skills Open Access Journal,http://www.ijocs.org/
International Journal of Ophthalmic Pathology Hybrid Open Access Journal,https://www.scitechnol.com/international-journal-of-ophthalmic-pathology.php
Interventional Cardiology Open Access Journal,http://www.openaccessjournals.com/journals/interventional-cardiology.html
Interventional Cardiology Journal Open Access Journal,http://interventional-cardiology.imedpub.com/
JBR Journal of Clinical Diagnosis and Research Open Access Journal,https://www.omicsonline.org/clinical-diagnosis-research.php
JBR Journal of Interdisciplinary Medicine and Dental Science Open Access Journal,https://www.omicsonline.org/interdisciplinary-medicine-dental-science.php
Journal of Addictive Behaviors and Therapy Open Access Journal,http://www.imedpub.com/addictive-behaviors-and-therapy/
Journal of Anesthesia & Clinical Research Open Access Journal,https://www.omicsonline.org/anesthesia-clinical-research.php
Journal of Anesthesiology and Pain Research ,https://www.omicsonline.org/journal-anesthesiology-pain-research.php
Journal of Cardiovascular Diseases & Diagnosis Open Access Journal,https://www.omicsonline.org/cardiovascular-diseases-diagnosis.php
Journal of Cellular & Molecular Pathology Open Access Journal,http://cellular-molecular-pathology.imedpub.com/
Journal of Clinical & Experimental Cardiology Open Access Journal,https://www.omicsonline.org/clinical-experimental-cardiology.php
Journal of Clinical & Experimental Dermatology Research Open Access Journal,https://www.omicsonline.org/clinical-experimental-dermatology-research.php
Journal of Clinical & Experimental Nephrology Open Access Journal,http://clinical-experimental-nephrology.imedpub.com
Journal of Clinical & Experimental Oncology Hybrid Open Access Journal,https://www.scitechnol.com/clinical-experimental-oncology.php
"Journal of Clinical & Experimental Ophthalmology Open Access Journal, Official Journal of Afro-Asian Council of Ophthalmology",https://www.omicsonline.org/clinical-experimental-ophthalmology.php
Journal of Clinical & Experimental Orthopaedics Open Access Journal,http://orthopedics.imedpub.com/
Journal of Clinical & Experimental Pathology Open Access Journal,https://www.omicsonline.org/clinical-experimental-pathology.php
Journal of Clinical and Experimental Endocrinology ,https://www.omicsonline.org/journal-clinical-experimental-endocrionology.php
Journal of Clinical and Experimental Transplantation Open Access Journal,https://www.omicsonline.org/clinical-experimental-transplantation.php
Journal of Clinical and Medical Sciences ,https://www.omicsonline.org/clinical-medical-sciences.php
Journal of Clinical Case Reports Open Access Journal,https://www.omicsonline.org/clinical-case-reports.php
Journal of Clinical Diabetes ,https://www.omicsonline.org/journal-clinical-diabetes.php
Journal of Clinical Nutrition & Dietetics Open Access Journal,http://clinical-nutrition.imedpub.com/
Journal of Clinical Research ,https://www.omicsonline.org/journal-clinical-research.php
Journal of Clinical Research & Bioethics Open Access Journal,https://www.omicsonline.org/clinical-research-bioethics.php
Journal of Clinical Toxicology Open Access Journal,https://www.omicsonline.org/clinical-toxicology.php
Journal of Clinical Trials Open Access Journal,https://www.omicsonline.org/clinical-trials.php
Journal of Coronary Heart Diseases ,https://www.omicsonline.org/journal-coronary-heart-diseases.php
Journal of Cosmetology & Trichology Open Access Journal,https://www.omicsonline.org/cosmetology-trichology.php
Journal of Dental Science and Medicine Open Access Journal,https://www.omicsonline.org/dental-science-medicine.php
Journal of Dermatitis Open Access Journal,https://www.omicsonline.org/dermatitis.php
Journal of Eye & Cataract Surgery ,http://eye-cataract-surgery.imedpub.com/
Journal of Eye Diseases and Disorders Open Access Journal,https://www.omicsonline.org/eye-diseases-and-disorders.php
Journal of Genome ,https://www.omicsonline.org/journal-genome.php
Journal of Headache & Pain Management Open Access Journal,http://headache.imedpub.com/
Journal of Heart and Cardiovascular Research ,http://www.imedpub.com/heart-and-cardiovascular-research/
Journal of Heart Health and Circulation Open Access Journal,http://www.imedpub.com/heart-health-and-circulation/
Journal of Infectious Diseases & Preventive Medicine Open Access Journal,https://www.omicsonline.org/ancient-diseases-preventive-remedies.php
Journal of Interventional and General Cardiology ,https://www.omicsonline.org/journal-interventional-general-cardiology.php
Journal of Ocular Infection and Inflammation ,https://www.omicsonline.org/journal-ocular-infection-inflammation.php
Journal of Phonetics & Audiology Open Access Journal,https://www.omicsonline.org/phonetics-audiology.php
Journal of Reproductive Endocrinology & Infertility ,http://reproductive-endocrinology-infertility.imedpub.com/
Journal of Speech Pathology & Therapy Open Access Journal,https://www.omicsonline.org/speech-pathology-therapy.php
Journal of Surgery and Anesthesia Open Access Journal,https://www.omicsonline.org/surgery-anesthesia.php
Journal of Surgical Pathology and Diagnosis ,https://www.omicsonline.org/journal-surgical-pathology-diagnosis.php
Journal of Vasculitis Open Access Journal,https://www.omicsonline.org/vasculitis.php
Neonatal and Pediatric Medicine Open Access Journal,https://www.omicsonline.org/neonatal-and-pediatric-medicine.php
Optometry: Open Access Open Access Journal,https://www.omicsonline.org/optometry.php
Pediatric Dental Care Open Access Journal,https://www.omicsonline.org/pediatric-dental-care.php
Research and Reviews - Orthopedics ,http://www.rroij.com/orthopedics.php
Toxicology: Open Access Open Access Journal,https://www.omicsonline.org/toxicology.php
Transplant Reports : Open Access Open Access Journal,https://www.omicsonline.org/transplant-reports.php
Advances in Recycling & Waste Management Open Access Journal,https://www.omicsonline.org/advances-in-recycling-waste-management.php
Environment Pollution and Climate Change Open Access Journal,https://www.omicsonline.org/environment-pollution-climate-change.php
Expert Opinion On Environmental Biology Hybrid Open Access Journal,https://www.scitechnol.com/expert-opinion-on-environmental-biology.php
"Hydrology: Current Research Open Access Journal, Official Journal of Slovak Society of Medical Genetics",https://www.omicsonline.org/hydrology-current-research.php
International Journal of Waste Resources Open Access Journal,https://www.omicsonline.org/international-journal-waste-resources.php
Journal of Biodiversity & Endangered Species Open Access Journal,https://www.omicsonline.org/biodiversity-endangered-species.php
Journal of Biodiversity Management & Forestry Hybrid Open Access Journal,https://www.scitechnol.com/biodiversity-management-forestry.php
"Journal of Biodiversity, Bioprospecting and Development Open Access Journal",https://www.omicsonline.org/international-journal-of-biodiversity-bioprocessing-and-development.php
Journal of Bioremediation & Biodegradation Open Access Journal,https://www.omicsonline.org/bioremediation-biodegradation.php
Journal of Climatology & Weather Forecasting Open Access Journal,https://www.omicsonline.org/climatology-weather-forecasting.php
Journal of Ecosystem & Ecography Open Access Journal,https://www.omicsonline.org/ecosystem-ecography.php
Journal of Environmental & Analytical Toxicology Open Access Journal,https://www.omicsonline.org/environmental-analytical-toxicology.php
Journal of Fundamentals of Renewable Energy and Applications Open Access Journal,https://www.omicsonline.org/fundamentals-renewable-energy-applications.php
Journal of Industrial Pollution Control Open Access Journal,http://www.icontrolpollution.com/
Journal of Petroleum & Environmental Biotechnology Open Access Journal,https://www.omicsonline.org/petroleum-environmental-biotechnology.php
Journal of Pollution ,https://www.omicsonline.org/journal-pollution.php
Journal of Pollution Effects & Control Open Access Journal,https://www.omicsonline.org/pollution-and-effects.php
Research & Reviews: Journal of Ecology and Environmental Sciences Open Access Journal,http://www.rroij.com/ecology-and-environmental-sciences.php
"Resources, Recycling and Waste Management ",http://www.imedpub.com/resources-recycling-and-waste-management/
Advances in Automobile Engineering Open Access Journal,https://www.omicsonline.org/advances-in-automobile-engineering.php
Advances in Robotics & Automation Open Access Journal,https://www.omicsonline.org/advances-in-robotics-automation.php
"Bioceramics Development and Applications Open Access Journal, Official Journal of International Society for Ceramics in Medicine",https://www.omicsonline.org/bioceramics-development-applications.php
Biosensors Journal Open Access Journal,https://www.omicsonline.org/biosensors-journal.php
European Journal of Applied Engineering and Scientific Research Open Access Journal,http://www.scholarsresearchlibrary.com/journals/european-journal-of-applied-engineering-and-scientific-research/
Global Journal of Technology and Optimization Open Access Journal,https://www.omicsonline.org/global-journal-technology-optimization.php
Industrial Engineering & Management Open Access Journal,https://www.omicsonline.org/industrial-engineering-management.php
Innovative Energy & Research Open Access Journal,https://www.omicsonline.org/innovative-energy-policies.php
"International Journal of Advance Innovations, Thoughts & Ideas Open Access Journal",https://www.omicsonline.org/international-journal-advance-innovations-thoughts-ideas.php
"International Journal of Advanced Research in Electrical, Electronics and Instrumentation Engineering Open Access Journal",http://www.rroij.com/international-journal-of-advanced-research-in-electrical-electronics-and-instrumentation-engineering.php
International Journal of Advancements in Technology Open Access Journal,https://www.omicsonline.org/international-journal-of-advancements-in-technology.php
International Journal of Innovative Research in Computer and Communication Engineering Open Access Journal,http://www.rroij.com/international-journal-of-innovative-research-in-computer-and-communication-engineering.php
"International Journal of Innovative Research in Science, Engineering and Technology Open Access Journal",http://www.rroij.com/international-journal-of-innovative-research-in-science-engineering-and-technology.php
International Journal of Sensor Networks and Data Communications Open Access Journal,https://www.omicsonline.org/sensor-networks-data-communications.php
International Journal of Swarm Intelligence and Evolutionary Computation Open Access Journal,https://www.omicsonline.org/swarm-intelligence-evolutionary-computation.php
Irrigation & Drainage Systems Engineering Open Access Journal,https://www.omicsonline.org/irrigation-and-drainage-systems-engineering.php
"Journal of Aeronautics & Aerospace Engineering  Open Access Journal, Official Journal of Brazilian Association of Ultra lights",https://www.omicsonline.org/aeronautics-aerospace-engineering.php
Journal of Applied Mechanical Engineering Open Access Journal,https://www.omicsonline.org/applied-mechanical-engineering.php
Journal of Architectural Engineering Technology Open Access Journal,https://www.omicsonline.org/architectural-engineering-technology.php
"Journal of Biosensors & Bioelectronics Open Access Journal, Official Journal of International Frequency Sensors Association, Romanian Measurement Society",https://www.omicsonline.org/biosensors-bioelectronics.php
Journal of Civil & Environmental Engineering Open Access Journal,https://www.omicsonline.org/civil-environmental-engineering.php
Journal of Computer Engineering & Information Technology Hybrid Open Access Journal,https://www.scitechnol.com/computer-engineering-information-technology.php
Journal of Electrical & Electronic Systems Open Access Journal,https://www.omicsonline.org/electrical-electronic-systems.php
Journal of Electrical Engineering and Electronic Technology Hybrid Open Access Journal,https://www.scitechnol.com/electrical-engineering-electronic-technology.php
Journal of Fashion Technology & Textile Engineering Hybrid Open Access Journal,https://www.scitechnol.com/fashion-technology-textile-engineering.php
Journal of Information Technology & Software Engineering Open Access Journal,https://www.omicsonline.org/information-technology-software-engineering.php
Journal of Steel Structures & Construction Open Access Journal,https://www.omicsonline.org/steel-structures-construction.php
Journal of Telecommunications System & Management Open Access Journal,https://www.omicsonline.org/telecommunications-system-management.php
Journal of Textile Science & Engineering Open Access Journal,https://www.omicsonline.org/textile-science-engineering.php
Lovotics Open Access Journal,https://www.omicsonline.org/lovotics.php
Research & Reviews: Journal of Engineering and Technology Open Access Journal,http://www.rroij.com/engineering-and-technology.php
Advances in Dairy Research Open Access Journal,https://www.omicsonline.org/advances-dairy-research.php
Journal of Applied Microbiology and Biochemistry ,http://www.imedpub.com/applied-microbiology-and-biochemistry/
Journal of Experimental Food Chemistry Open Access Journal,https://www.omicsonline.org/experimental-food-chemistry.php
Journal of Food & Industrial Microbiology Open Access Journal,https://www.omicsonline.org/food-industrial-microbiology.php
Journal of Food and Nutritional Disorders Hybrid Open Access Journal,https://www.scitechnol.com/food-nutritional-disorders.php
Journal of Food Processing & Technology Open Access Journal,https://www.omicsonline.org/food-processing-technology.php
Journal of Food Technology and Preservation ,http://www.alliedacademies.org/food-technology-and-preservation/
"Journal of Food, Nutrition and Population Health ",http://www.imedpub.com/food-nutrition-and-population-health/
"Journal of Food: Microbiology, Safety & Hygiene Open Access Journal",https://www.omicsonline.org/foodmicrobiology-safety-hygiene.php
Journal of Nutrition & Food Sciences Open Access Journal,https://www.omicsonline.org/nutrition-food-sciences.php
Journal of Nutrition and Dietetics ,https://www.omicsonline.org/journal-nutrition-dietetics.php
Journal of Nutrition Science Research Open Access Journal,https://www.omicsonline.org/nutrition-science-research.php
Journal of Probiotics & Health Open Access Journal,https://www.omicsonline.org/probiotics-health.php
Research & Reviews: Journal of Food and Dairy Technology Open Access Journal,http://www.rroij.com/food-and-dairy-technology.php
Vitamins & Minerals Open Access Journal,https://www.omicsonline.org/vitamins-minerals.php
Advances in Applied Science Research Open Access Journal,http://www.imedpub.com/advances-in-applied-science-research/
Annals of Biological Sciences ,http://www.imedpub.com/annals-of-biological-sciences/
Annals of Experimental Biology ,http://www.scholarsresearchlibrary.com/journals/annals-of-experimental-biology
Archives of Science ,https://www.omicsonline.org/archives-science.php
Biological Systems: Open Access Open Access Journal,https://www.omicsonline.org/biological-systems-open-access.php
BioTechnology: An Indian Journal ,http://www.tsijournals.com/journals/biotechnology-an-indian-journal.html
British Journal of Research ,http://www.imedpub.com/british-journal-of-research/
Electronic Journal of Biology Open Access Journal,http://ejbio.imedpub.com/
"Entomology, Ornithology & Herpetology: Current Research Open Access Journal",https://www.omicsonline.org/entomology-ornithology-herpetology.php
Environmental Science: An Indian Journal ,http://www.tsijournals.com/journals/environmental-science-an-indian-journal.html
European Journal of Experimental Biology ,http://www.imedpub.com/european-journal-of-experimental-biology/
Forest Research: Open Access Open Access Journal,https://www.omicsonline.org/forest-research-open-access.php
Global Journal of Research and Review ,http://www.imedpub.com/global-journal-of-research-and-review/
International Journal of Applied Science - Research and Review ,http://www.imedpub.com/applied-science-research-and-review/
Journal of Astrobiology & Outreach Open Access Journal,https://www.omicsonline.org/astrobiology-and-outreach.php
Journal of Biological and Medical Sciences ,https://www.omicsonline.org/biological-medicalsciences.php
Journal of Biomusical Engineering Open Access Journal,https://www.omicsonline.org/biomusical-engineering.php
Journal of Bioresearch Communications ,https://www.omicsonline.org/bioresearch-communications.php
"Journal of Biotechnology & Biomaterials Open Access Journal, Official Journal of Semi-Conductor Society, Society for Applied Biotechnology",https://www.omicsonline.org/biotechnology-biomaterials.php
Journal of Bioterrorism & Biodefense Open Access Journal,https://www.omicsonline.org/bioterrorism-biodefense.php
Journal of Ergonomics Open Access Journal,https://www.omicsonline.org/ergonomics.php
Journal of Forensic Biomechanics Open Access Journal,https://www.omicsonline.org/forensic-biomechanics.php
Journal of Forensic Research Open Access Journal,https://www.omicsonline.org/forensic-research.php
Journal of Global Research in Computer Science Open Access Journal,http://www.rroij.com/global-research-in-computer-science.php
Journal of Nutrition & Weight Loss Open Access Journal,https://www.omicsonline.org/nutrition-weight-loss.php
Journal of Physics Research and Applications ,https://www.scitechnol.com/journal-physics-research-applications.php
Journal of Research and Development Open Access Journal,https://www.omicsonline.org/journal-research-development.php
Journal of Yoga Practice and Therapy ,https://www.scitechnol.com/journal-yoga-practice-therapy.php
Research & Reviews in BioSciences ,http://www.tsijournals.com/journals/research-reviews-in-biosciences.html
Research & Reviews: Journal of Botanical Sciences Open Access Journal,http://www.rroij.com/botanical-sciences.php
Research & Reviews: Research Journal of Biology Open Access Journal,http://www.rroij.com/biology.php
Advancements in Genetic Engineering Open Access Journal,https://www.omicsonline.org/advancements-in-genetic-engineering.php
Advances in Molecular Diagnostics Open Access Journal,https://www.omicsonline.org/advances-molecular-diagnostics.php
