Name of the Journal,Website URL,Editor URL,Archive URL,Contact URL,ISSN
Journal of Glycomics & Lipidomics Open Access Journal,https://www.omicsonline.org/glycomics-lipidomics.php,https://www.omicsonline.org/editorialboard-glycomics-lipidomics-open-access.php,https://www.omicsonline.org/archive-glycomics-lipidomics-open-access.php,https://www.omicsonline.org/contact-glycomics-lipidomics-open-access.php, ISSN: 2153-0637
Journal of Health & Medical Informatics Open Access Journal,https://www.omicsonline.org/health-medical-informatics.php,https://www.omicsonline.org/editorialboard-health-medical-informatics-open-access.php,https://www.omicsonline.org/archive-health-medical-informatics-open-access.php,https://www.omicsonline.org/contact-health-medical-informatics-open-access.php, ISSN: 2157-7420
Journal of Next Generation Sequencing & Applications Open Access Journal,https://www.omicsonline.org/next-generation-sequencing-applications.php,https://www.omicsonline.org/editorialboard-next-generation-sequencing-applications-open-access.php,https://www.omicsonline.org/archive-next-generation-sequencing-applications-open-access.php,https://www.omicsonline.org/contact-next-generation-sequencing-applications-open-access.php, ISSN 2469-9853
Journal of Phylogenetics & Evolutionary Biology Open Access Journal,https://www.omicsonline.org/phylogenetics-evolutionary-biology.php,https://www.omicsonline.org/editorialboard-phylogenetics-evolutionary-biology-open-access.php,https://www.omicsonline.org/archive-phylogenetics-evolutionary-biology-open-access.php,https://www.omicsonline.org/contact-phylogenetics-evolutionary-biology-open-access.php, ISSN: 2329-9002
Journal of Proteomics & Bioinformatics Open Access Journal,https://www.omicsonline.org/proteomics-bioinformatics.php,https://www.omicsonline.org/editorialboard-proteomics-bioinformatics-open-access.php,https://www.omicsonline.org/archive-proteomics-bioinformatics-open-access.php,https://www.omicsonline.org/contact-proteomics-bioinformatics-open-access.php, ISSN: 0974-276X
Journal of Theoretical & Computational Science Open Access Journal,https://www.omicsonline.org/theoretical-and-computational-science.php,https://www.omicsonline.org/editorialboard-theoretical-and-computational-science-open-access.php,https://www.omicsonline.org/archive-theoretical-and-computational-science-open-access.php,https://www.omicsonline.org/contact-theoretical-and-computational-science.php, 2376-130X
Metabolomics: Open Access Open Access Journal,https://www.omicsonline.org/metabolomics-open-access.php,https://www.omicsonline.org/editorialboard-metabolomics-open-access-open-access.php,https://www.omicsonline.org/archive-metabolomics-open-access.php,https://www.omicsonline.org/contact-metabolomics-open-access.php, ISSN: 2153-0769
Transcriptomics: Open Access Open Access Journal,https://www.omicsonline.org/transcriptomics.php,https://www.omicsonline.org/editorialboard-transcriptomics-open-access.php,https://www.omicsonline.org/archive-transcriptomics-open-access.php,https://www.omicsonline.org/contact-transcriptomics-open-access.php, ISSN: 2329-8936
Advanced Techniques in Biology & Medicine Open Access Journal,https://www.omicsonline.org/advanced-techniqes-biology-medicine.php,https://www.omicsonline.org/editorialboard-advanced-techniques-in-biology-medicine-open-access.php,https://www.omicsonline.org/archive-advanced-techniques-in-biology-medicine-open-access.php,https://www.omicsonline.org/contact-advanced-techniques-in-biology-medicine-open-access.php, ISSN: 2379-1764
Biology and Medicine Open Access Journal,https://www.omicsonline.org/biology-and-medicine.php,https://www.omicsonline.org/editorialboard-biology-and-medicine-open-access.php,https://www.omicsonline.org/archive-biology-and-medicine-open-access.php,https://www.omicsonline.org/contact-biology-and-medicine-open-access.php, ISSN: 0974-8369
International Journal of Biomedical Data Mining Open Access Journal,https://www.omicsonline.org/biomedical-data-mining.php,https://www.omicsonline.org/editorialboard-biomedical-data-mining-open-access.php,https://www.omicsonline.org/archive-biomedical-data-mining-open-access.php,https://www.omicsonline.org/contact-biomedical-data-mining-open-access.php, ISSN: 2090-4924
Journal of Bioengineering & Biomedical Science Open Access Journal,https://www.omicsonline.org/bioengineering-biomedical-science.php,https://www.omicsonline.org/editorialboard-bioengineering-biomedical-science-open-access.php,https://www.omicsonline.org/archive-bioengineering-biomedical-science-open-access.php,https://www.omicsonline.org/contact-bioengineering-biomedical-science-open-access.php, ISSN: 2155-9538
Journal of Biomedical and Pharmaceutical Sciences ,https://www.omicsonline.org/journal-biomedical-pharmaceutical-sciences.php,https://www.omicsonline.org/editorialboard-journal-biomedical-pharmaceutical-sciences.php,https://www.omicsonline.org/archive-journal-biomedical-pharmaceutical-sciences.php,https://www.omicsonline.org/contact-journal-biomedical-pharmaceutical-sciences.php, 
Journal of Biomedical Engineering and Medical Devices Open Access Journal,https://www.omicsonline.org/biomedical-engineering-medical-devices.php,https://www.omicsonline.org/editorialboard-biomedical-engineering-medical-devices.php,https://www.omicsonline.org/archive-biomedical-engineering-medical-devices.php,https://www.omicsonline.org/contact-biomedical-engineering-medical-devices.php, ISSN: 2475-7586
Journal of Biomedical Systems & Emerging Technologies Open Access Journal,https://www.omicsonline.org/biomedical-systems-emerging-technologies.php,https://www.omicsonline.org/editorialboard-biomedical-systems-emerging-technologies.php,https://www.omicsonline.org/archive-biomedical-systems-emerging-technologies.php,https://www.omicsonline.org/contact-biomedical-systems-emerging-technologies.php, 
Journal of Biomolecular Research & Therapeutics Open Access Journal,https://www.omicsonline.org/biomolecular-research-therapeutics.php,https://www.omicsonline.org/editorialboard-biomolecular-research-therapeutics-open-access.php,https://www.omicsonline.org/archive-biomolecular-research-therapeutics-open-access.php,https://www.omicsonline.org/contact-biomolecular-research-therapeutics-open-access.php, ISSN: 2167-7956
Arabian Journal of Business and Management Review Open Access Journal,https://www.omicsonline.org/arabian-journal-business-management-review.php,https://www.omicsonline.org/editorialboard-arabian-journal-business-management-review-open-access.php,https://www.omicsonline.org/archive-arabian-journal-business-management-review-open-access.php,https://www.omicsonline.org/contact-arabian-journal-business-management-review-open-access.php, E-ISSN: 2223-5833
Business and Economics Journal Open Access Journal,https://www.omicsonline.org/business-and-economics-journal.php,https://www.omicsonline.org/editorialboard-business-and-economics-journal-open-access.php,https://www.omicsonline.org/archive-business-and-economics-journal-open-access.php,https://www.omicsonline.org/contact-business-and-economics-journal-open-access.php, ISSN: 2151-6219
International Journal of Accounting Research Open Access Journal,https://www.omicsonline.org/international-journal-accounting-research.php,https://www.omicsonline.org/editorialboard-international-journal-accounting-research-open-access.php,https://www.omicsonline.org/archive-international-journal-accounting-research-open-access.php,https://www.omicsonline.org/contact-international-journal-accounting-research-open-access.php, ISSN: 2472-114X
International Journal of Economics & Management Sciences Open Access Journal,https://www.omicsonline.org/economics-and-management-sciences.php,https://www.omicsonline.org/editorialboard-economics-and-management-sciences-open-access.php,https://www.omicsonline.org/archive-economics-and-management-sciences-open-access.php,https://www.omicsonline.org/contact-economics-and-management-sciences-open-access.php, ISSN: 2162-6359
Journal of Accounting & Marketing Open Access Journal,https://www.omicsonline.org/accounting-marketing.php,https://www.omicsonline.org/editorialboard-accounting-marketing-open-access.php,https://www.omicsonline.org/archive-accounting-marketing-open-access.php,https://www.omicsonline.org/contact-accounting-marketing-open-access.php, ISSN: 2168-9601
Journal of Business & Financial Affairs Open Access Journal,https://www.omicsonline.org/business-and-financial-affairs.php,https://www.omicsonline.org/editorialboard-business-and-financial-affairs-open-access.php,https://www.omicsonline.org/archive-business-and-financial-affairs-open-access.php,https://www.omicsonline.org/contact-business-and-financial-affairs-open-access.php, ISSN: 2167-0234
Journal of Entrepreneurship & Organization Management Open Access Journal,https://www.omicsonline.org/entrepreneurship-organization-management.php,https://www.omicsonline.org/editorialboard-entrepreneurship-organization-management-open-access.php,https://www.omicsonline.org/archive-entrepreneurship-organization-management-open-access.php,https://www.omicsonline.org/contact-entrepreneurship-organization-management-open-access.php, 2169-026X
Journal of Global Economics Open Access Journal,https://www.omicsonline.org/global-economics.php,https://www.omicsonline.org/editorialboard-global-economics-open-access.php,https://www.omicsonline.org/archive-global-economics-open-access.php,https://www.omicsonline.org/contact-global-economics-open-access.php, ISSN: 2375-4389
Journal of Hotel & Business Management Open Access Journal,https://www.omicsonline.org/hotel-business-management.php,https://www.omicsonline.org/editorialboard-hotel-business-management-open-access.php,https://www.omicsonline.org/archive-hotel-business-management-open-access.php,https://www.omicsonline.org/contact-hotel-business-management-open-access.php, ISSN: 2169-0286
Journal of Stock & Forex Trading Open Access Journal,https://www.omicsonline.org/stock-forex-trading.php,https://www.omicsonline.org/editorialboard-stock-forex-trading-open-access.php,https://www.omicsonline.org/archive-stock-forex-trading-open-access.php,https://www.omicsonline.org/contact-stock-forex-trading-open-access.php, ISSN: 2168-9458
Journal of Tourism & Hospitality Open Access Journal,https://www.omicsonline.org/tourism-hospitality.php,https://www.omicsonline.org/editorialboard-tourism-hospitality-open-access.php,https://www.omicsonline.org/archive-tourism-hospitality-open-access.php,https://www.omicsonline.org/contact-tourism-hospitality-open-access.php, ISSN: 2167-0269
Review of Public Administration and Management Open Access Journal,https://www.omicsonline.org/review-public-adminstration-management.php,https://www.omicsonline.org/editorialboard-review-public-adminstration-management-open-access.php,https://www.omicsonline.org/archive-review-public-adminstration-management-open-access.php,https://www.omicsonline.org/contact-review-public-adminstration-management-open-access.php, ISSN: 2315-7844
Journal of Advanced Chemical Engineering Open Access Journal,https://www.omicsonline.org/advanced-chemical-engineering.php,https://www.omicsonline.org/editorialboard-advanced-chemical-engineering-open-access.php,https://www.omicsonline.org/archive-advanced-chemical-engineering-open-access.php,https://www.omicsonline.org/contact-advanced-chemical-engineering-open-access.php, ISSN: 2090-4568
Journal of Bioprocessing & Biotechniques Open Access Journal,https://www.omicsonline.org/bioprocessing-biotechniques.php,https://www.omicsonline.org/editorialboard-bioprocessing-biotechniques-open-access.php,https://www.omicsonline.org/archive-bioprocessing-biotechniques-open-access.php,https://www.omicsonline.org/contact-bioprocessing-biotechniques-open-access.php, ISSN: 2155-9821
Journal of Chemical Engineering & Process Technology Open Access Journal,https://www.omicsonline.org/chemical-engineering-process-technology.php,https://www.omicsonline.org/editorialboard-chemical-engineering-process-technology-open-access.php,https://www.omicsonline.org/archive-chemical-engineering-process-technology-open-access.php,https://www.omicsonline.org/contact-chemical-engineering-process-technology-open-access.php, ISSN: 2157-7048
Journal of Thermodynamics & Catalysis Open Access Journal,https://www.omicsonline.org/thermodynamics-catalysis.php,https://www.omicsonline.org/editorialboard-thermodynamics-catalysis-open-access.php,https://www.omicsonline.org/archive-thermodynamics-catalysis-open-access.php,https://www.omicsonline.org/contact-thermodynamics-catalysis-open-access.php, ISSN: 2157-7544
Biopolymers Research ,https://www.omicsonline.org/biopolymers-research.php,https://www.omicsonline.org/editorialboard-biopolymers-research.php,https://www.omicsonline.org/archive-biopolymers-research.php,https://www.omicsonline.org/contact-biopolymers-research.php, 
Chemical Sciences Journal Open Access Journal,https://www.omicsonline.org/chemical-sciences-journal.php,https://www.omicsonline.org/editorialboard-chemical-sciences-journal-open-access.php,https://www.omicsonline.org/archive-chemical-sciences-journal-open-access.php,https://www.omicsonline.org/contact-chemical-sciences-journal-open-access.php, ISSN: 2150-3494
Industrial Chemistry Open Access Journal,https://www.omicsonline.org/industrial-chemistry.php,https://www.omicsonline.org/editorialboard-industrial-chemistry.php,https://www.omicsonline.org/archive-industrial-chemistry.php,https://www.omicsonline.org/contact-industrial-chemistry.php, ISSN: 2469-9764
Journal of Analytical & Bioanalytical Techniques Open Access Journal,https://www.omicsonline.org/analytical-bioanalytical-techniques.php,https://www.omicsonline.org/editorialboard-analytical-bioanalytical-techniques-open-access.php,https://www.omicsonline.org/archive-analytical-bioanalytical-techniques-open-access.php,https://www.omicsonline.org/contact-analytical-bioanalytical-techniques-open-access.php, ISSN: 2155-9872
Journal of Chromatography & Separation Techniques Open Access Journal,https://www.omicsonline.org/chromatography-separation-techniques.php,https://www.omicsonline.org/editorialboard-chromatography-separation-techniques-open-access.php,https://www.omicsonline.org/archive-chromatography-separation-techniques-open-access.php,https://www.omicsonline.org/contact-chromatography-separation-techniques-open-access.php, ISSN: 2157-7064
"Journal of Environmental Analytical Chemistry Open Access Journal, Association of Environmental Analytical Chemistry of India",https://www.omicsonline.org/environmental-analytical-chemistry.php,https://www.omicsonline.org/editorialboard-environmental-analytical-chemistry-open-access.php,https://www.omicsonline.org/archive-environmental-analytical-chemistry-open-access.php,https://www.omicsonline.org/contact-environmental-analytical-chemistry-open-access.php, ISSN: 2380-2391
Journal of Health Care and Prevention ,https://www.omicsonline.org/journal-health-care-prevention.php,https://www.omicsonline.org/editorialboard-journal-health-care-prevention.php,https://www.omicsonline.org/archive-journal-health-care-prevention.php,https://www.omicsonline.org/contact-journal-health-care-prevention.php, 
Journal of Pain & Relief Open Access Journal,https://www.omicsonline.org/pain-relief.php,https://www.omicsonline.org/editorialboard-pain-relief-open-access.php,https://www.omicsonline.org/archive-pain-relief-open-access.php,https://www.omicsonline.org/contact-pain-relief-open-access.php, ISSN: 2167-0846
Journal of Physical Chemistry & Biophysics Open Access Journal,https://www.omicsonline.org/physical-chemistry-biophysics.php,https://www.omicsonline.org/editorialboard-physical-chemistry-biophysics-open-access.php,https://www.omicsonline.org/archive-physical-chemistry-biophysics-open-access.php,https://www.omicsonline.org/contact-physical-chemistry-biophysics-open-access.php, ISSN: 2161-0398
Journal of Phytochemistry & Biochemistry ,https://www.omicsonline.org/journal-phytochemistry-biochemistry.php,https://www.omicsonline.org/editorialboard-journal-phytochemistry-biochemistry.php,https://www.omicsonline.org/archive-journal-phytochemistry-biochemistry.php,https://www.omicsonline.org/contact-journal-phytochemistry-biochemistry.php, 
Mass Spectrometry & Purification Techniques Open Access Journal,https://www.omicsonline.org/mass-spectrometry-purification-techniques.php,https://www.omicsonline.org/editorialboard-mass-spectrometry-purification-techniques.php,https://www.omicsonline.org/archive-mass-spectrometry-purification-techniques.php,https://www.omicsonline.org/contact-mass-spectrometry-purification-techniques.php, ISSN: 2469-9861
Medicinal Chemistry Open Access Journal,https://www.omicsonline.org/medicinal-chemistry.php,https://www.omicsonline.org/editorialboard-medicinal-chemistry-open-access.php,https://www.omicsonline.org/archive-medicinal-chemistry-open-access.php,https://www.omicsonline.org/contact-medicinal-chemistry-open-access.php, ISSN: 2161-0444
Modern Chemistry & Applications Open Access Journal,https://www.omicsonline.org/modern-chemistry-applications.php,https://www.omicsonline.org/editorialboard-modern-chemistry-applications-open-access.php,https://www.omicsonline.org/archive-modern-chemistry-applications-open-access.php,https://www.omicsonline.org/contact-modern-chemistry-applications-open-access.php, ISSN: 2329-6798
Natural Products Chemistry & Research Open Access Journal,https://www.omicsonline.org/natural-products-chemistry-research.php,https://www.omicsonline.org/editorialboard-natural-products-chemistry-research-open-access.php,https://www.omicsonline.org/archive-natural-products-chemistry-research-open-access.php,https://www.omicsonline.org/contact-natural-products-chemistry-research-open-access.php, ISSN: 2329-6836 
Organic Chemistry: Current Research Open Access Journal,https://www.omicsonline.org/organic-chemistry-current-research.php,https://www.omicsonline.org/editorialboard-organic-chemistry-current-research-open-access.php,https://www.omicsonline.org/archive-organic-chemistry-current-research-open-access.php,https://www.omicsonline.org/contact-organic-chemistry-current-research-open-access.php, ISSN: 2161-0401
Pharmaceutical Analytical Chemistry Open Access Journal,https://www.omicsonline.org/pharmaceutical-analytical-chemistry.php,https://www.omicsonline.org/editorialboard-pharmaceutical-analytical-chemistry.php,https://www.omicsonline.org/archive-pharmaceutical-analytical-chemistry.php,https://www.omicsonline.org/contact-pharmaceutical-analytical-chemistry.php, ISSN: 2471-2698
Acute and Chronic Disease Reports ,https://www.omicsonline.org/acute-chronic-disease-reports.php,https://www.omicsonline.org/editorialboard-acute-chronic-disease-reports.php,https://www.omicsonline.org/archive-acute-chronic-disease-reports.php,https://www.omicsonline.org/contact-acute-chronic-disease-reports.php, 
Atherosclerosis: Open Access Open Access Journal,https://www.omicsonline.org/atherosclerosis.php,https://www.omicsonline.org/editorialboard-atherosclerosis.php,https://www.omicsonline.org/archive-atherosclerosis.php,https://www.omicsonline.org/contact-atherosclerosis.php, 
Cancer Surgery Open Access Journal,https://www.omicsonline.org/cancer-surgery.php,https://www.omicsonline.org/editorialboard-cancer-surgery.php,https://www.omicsonline.org/archive-cancer-surgery.php,https://www.omicsonline.org/contact-cancer-surgery.php, ISSN: 2573-542X
Cardiovascular Pharmacology: Open Access Open Access Journal,https://www.omicsonline.org/cardiovascular-pharmacology.php,https://www.omicsonline.org/editorialboard-cardiovascular-pharmacology-open-access.php,https://www.omicsonline.org/archive-cardiovascular-pharmacology-open-access.php,https://www.omicsonline.org/contact-cardiovascular-pharmacology-open-access.php, ISSN: 2329-6607
Cardiovascular Therapy: Open Access Open Access Journal,https://www.omicsonline.org/cardiovascular-therapy.php,https://www.omicsonline.org/editorialboard-cardiovascular-therapy.php,https://www.omicsonline.org/archive-cardiovascular-therapy.php,https://www.omicsonline.org/contact-cardiovascular-therapy.php, 
Clinical and Experimental Psychology Open Access Journal,https://www.omicsonline.org/clinical-experimental-psychology.php,https://www.omicsonline.org/editorialboard-clinical-experimental-psychology.php,https://www.omicsonline.org/archive-clinical-experimental-psychology.php,https://www.omicsonline.org/contact-clinical-experimental-psychology.php, ISSN: 2471-2701
Clinical Depression Open Access Journal,https://www.omicsonline.org/clinical-depression.php,https://www.omicsonline.org/editorialboard-clinical-depression.php,https://www.omicsonline.org/archive-clinical-depression.php,https://www.omicsonline.org/contact-clinical-depression.php, ISSN: 2572-0791
Clinical Pediatrics: Open Access Open Access Journal,https://www.omicsonline.org/clinical-pediatrics.php,https://www.omicsonline.org/editorialboard-clinical-pediatrics.php,https://www.omicsonline.org/archive-clinical-pediatrics.php,https://www.omicsonline.org/contact-clinical-pediatrics.php, ISSN: 2572-0775
Clinical Research on Foot & Ankle Open Access Journal,https://www.omicsonline.org/clinical-research-foot-ankle.php,https://www.omicsonline.org/editorialboard-clinical-research-on-foot-ankle-open-access.php,https://www.omicsonline.org/archive-clinical-research-on-foot-ankle-open-access.php,https://www.omicsonline.org/contact-clinical-research-foot-ankle.php, ISSN: 2329-910X
Clinics in Mother and Child Health Open Access Journal,https://www.omicsonline.org/clinics-mother-child-health.php,https://www.omicsonline.org/editorialboard-clinics-mother-child-health-open-access.php,https://www.omicsonline.org/archive-clinics-mother-child-health-open-access.php,https://www.omicsonline.org/contact-clinics-mother-child-health-open-access.php, ISSN: 2090-7214
Diabetes Case Reports Open Access Journal,https://www.omicsonline.org/diabetes-case-reports.php,https://www.omicsonline.org/editorialboard-diabetes-case-reports.php,https://www.omicsonline.org/archive-diabetes-case-reports.php,https://www.omicsonline.org/contact-diabetes-case-reports.php, ISSN: 2572-5629
JBR Journal of Clinical Diagnosis and Research Open Access Journal,https://www.omicsonline.org/clinical-diagnosis-research.php,https://www.omicsonline.org/editorialboard-clinical-diagnosis-research-open-access.php,https://www.omicsonline.org/archive-clinical-diagnosis-research-open-access.php,https://www.omicsonline.org/contact-clinical-diagnosis-research-open-access.php, ISSN: 2376-0311
JBR Journal of Interdisciplinary Medicine and Dental Science Open Access Journal,https://www.omicsonline.org/interdisciplinary-medicine-dental-science.php,https://www.omicsonline.org/editorialboard-interdisciplinary-medicine-dental-science-open-access.php,https://www.omicsonline.org/archive-interdisciplinary-medicine-dental-science-open-access.php,https://www.omicsonline.org/contact-interdisciplinary-medicine-dental-science-open-access.php, ISSN: 2376-032X
Journal of Anesthesia & Clinical Research Open Access Journal,https://www.omicsonline.org/anesthesia-clinical-research.php,https://www.omicsonline.org/editorialboard-anesthesia-clinical-research-open-access.php,https://www.omicsonline.org/archive-anesthesia-clinical-research-open-access.php,https://www.omicsonline.org/contact-anesthesia-clinical-research-open-access.php, ISSN: 2155-6148
